Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,1414,47,aclnnEmbedding_GatherV2AiCore_GatherV2,GatherV2,dynamic,AI_VECTOR_CORE,1774076407953219.560	,3.840,6939.850000,5,0,NO,"""248320,1024;5;1""",DT_BF16;INT64;INT64,ND;ND;ND,"""5,1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.932,24192,0.058,0.02,0.657,0.224,0.905,0.309,0.155,0.053,0.197,0.000
0,4294967295,1416,47,GemmaRmsNorm,GemmaRmsNorm,dynamic,AI_VECTOR_CORE,1774076407953352.080	,5.280,128.660000,5,0,NO,"""5,1024;1024""",DT_BF16;DT_BF16,ND;ND,"""5,1024;5,1""",DT_BF16;FLOAT,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24,34976,0.29,0.068,2.468,0.582,1.081,0.255,0.155,0.037,0.137,0.000
0,4294967295,1417,47,aclnnMatmul_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1774076407953508.880	,26.800,151.720000,16,0,NO,"""5,1024;8192,1024""",DT_BF16;DT_BF16,ND;ND,"""5,8192""",DT_BF16,ND,N/A,24.87,656579,2.075,0.083,7.329,0.295,5.966,0.24,20.445,0.822,0.33,0.013,0.018,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.240
0,4294967295,1418,47,aclnnMatmul_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1774076407953617.720	,7.160,81.950000,2,0,NO,"""5,1024;32,1024""",DT_BF16;DT_BF16,ND;ND,"""5,32""",DT_BF16,ND,N/A,6.541,21584,0.337,0.051,3.001,0.459,0.423,0.065,1.085,0.166,0.39,0.06,0.074,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.135
0,4294967295,1419,47,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1774076407953762.360	,2.340,137.340000,5,0,NO,"""5,32;2;2""",DT_BF16;INT64;INT64,ND;ND;ND,"""5,16""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.634,13483,0.008,0.005,0.531,0.325,0.198,0.121,0.165,0.101,0.228,0.000
0,4294967295,1420,47,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1774076407953872.580	,2.200,107.910000,5,0,NO,"""5,32;2;2""",DT_BF16;INT64;INT64,ND;ND;ND,"""5,16""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.194,9853,0.008,0.007,0.319,0.267,0.114,0.095,0.121,0.101,0.252,0.000
0,4294967295,1421,47,aclnnInplaceZero_ZerosLikeAiCore_ZerosLike,ZerosLike,dynamic,AI_VECTOR_CORE,1774076407954020.100	,2.600,145.300000,10,0,NO,"""5,16,128""",DT_BF16,NCL,"""5,16,128""",DT_BF16,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.514,24978,0.06,0.04,0.21,0.139,0.001,0.001,0.153,0.101,0.212,0.000
0,4294967295,1422,47,aclnnContiguous_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1774076407955090.640	,2.020,1068.150000,5,0,NO,"""5,8192;2;2""",DT_BF16;INT64;INT64,ND;ND;ND,"""5,6144""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.243,10257,0.008,0.007,0.348,0.28,0.171,0.137,0.178,0.144,0.26,0.000
0,4294967295,1423,47,aclnnContiguous_TransposeAiCore_Transpose,Transpose,dynamic,AI_VECTOR_CORE,1774076407955180.920	,25.440,88.230000,40,0,NO,"""6144,4;2""",DT_BF16;INT64,ND;ND,"""4,6144""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.835,1309093,0.067,0.003,2.039,0.103,1.077,0.054,0.194,0.01,0.174,0.000
0,4294967295,1424,47,CausalConv1d,CausalConv1d,dynamic,AI_VECTOR_CORE,1774076407955353.520	,11.840,147.060000,16,0,NO,"""5,6144;4,6144;;2045,3,6144;2;1;1""",DT_BF16;DT_BF16;DT_UNDEFINED;DT_BF16;INT32;INT32;BOOL,ND;ND;NULL;ND;ND;ND;ND,"""5,6144""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.248,270538,1.651,0.161,2.379,0.232,1.286,0.125,1.279,0.125,0.086,0.000
